model,training_accuracy,validation_accuracy,test_accuracy,loss,validation_loss,test_loss,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,epochs_run
Onceki model - CNN baseline,0.9106185436248779,0.7005003690719604,0.6723390221595764,0.3071405291557312,1.005853533744812,1.0449146032333374,0.6668115299880951,0.666842239912486,0.6725084175084175,0.672339005672339,0.6656556519717542,0.6655966109014964,57
En basarili model - CNN batchnorm/dropout,0.7277439832687378,0.6854896545410156,0.6656656861305237,0.8365485668182373,1.0856776237487793,1.0900952816009521,0.7174713939665255,0.7176105098527223,0.6659057239057238,0.6656656656656657,0.6507352506222958,0.6506798937706595,100
