model,training_accuracy,validation_accuracy,test_accuracy,loss,validation_loss,test_loss,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,epochs_run
Feature engineered CNN + LSTM,0.9835538268089294,0.8598999381065369,0.8408408164978027,0.05291116237640381,0.6455171704292297,0.6990185976028442,0.8438775789563688,0.8438629513416729,0.8409191919191918,0.8408408408408409,0.8414593284089719,0.8414129364673906,62
Previous CNN + LSTM reference,0.8402,0.7863,0.7684,0.4761,0.713,0.7515,0.7782,0.7783,0.7685,0.7684,0.7685,0.7685,86
